LGA_CODE_2016,F_AccomFoodS_Cert,F_AccomFoodS_ID_NS,F_AccomFoodS_ToT,F_TransPostWhse_PD,F_TransPostWhse_GD_GC,F_TransPostWhse_BD,F_TransPostWhse_AdD_D,F_TransPostWhse_Cert,F_TransPostWhse_ID_NS,F_TransPostWhse_ToT,F_InfoMedTelecom_PD,F_InfoMedTelecom_GD_GC,F_InfoMedTelecom_BD,F_InfoMedTelecom_AdD_D,F_InfoMedTelecom_Cert,F_InfoMedTelecom_ID_NS,F_InfoMedTelecom_ToT,F_FinInsurS_PD,F_FinInsurS_GD_GC,F_FinInsurS_BD,F_FinInsurS_AdD_D,F_FinInsurS_Cert,F_FinInsurS_ID_NS,F_FinInsurS_ToT,F_RentHirREserv_PD,F_RentHirREserv_GD_GC,F_RentHirREserv_BD,F_RentHirREserv_AdD_D,F_RentHirREserv_Cert,F_RentHirREserv_ID_NS,F_RentHirREserv_ToT,F_ProScieTechServ_PD,F_ProScieTechServ_GD_GC,F_ProScieTechServ_BD,F_ProScieTechServ_AdD_D,F_ProScieTechServ_Cert,F_ProScieTechServ_ID_NS,F_ProScieTechServ_ToT,F_AdminSupServ_PD,F_AdminSupServ_GD_GC,F_AdminSupServ_BD,F_AdminSupServ_AdD_D,F_AdminSupServ_Cert,F_AdminSupServ_ID_NS,F_AdminSupServ_ToT,F_PubAdmiSafety_PD,F_PubAdmiSafety_GD_GC,F_PubAdmiSafety_BD,F_PubAdmiSafety_AdD_D,F_PubAdmiSafety_Cert,F_PubAdmiSafety_ID_NS,F_PubAdmiSafety_ToT,F_EducTrain_PD,F_EducTrain_GD_GC,F_EducTrain_BD,F_EducTrain_AdD_D,F_EducTrain_Cert,F_EducTrain_ID_NS,F_EducTrain_ToT,F_HealthCareSocA_PD,F_HealthCareSocA_GD_GC,F_HealthCareSocA_BD,F_HealthCareSocA_AdD_D,F_HealthCareSocA_Cert,F_HealthCareSocA_ID_NS,F_HealthCareSocA_ToT,F_ArtRecServ_PD,F_ArtRecServ_GD_GC,F_ArtRecServ_BD,F_ArtRecServ_AdD_D,F_ArtRecServ_Cert,F_ArtRecServ_ID_NS,F_ArtRecServ_ToT,F_OthServ_PD,F_OthServ_GD_GC,F_OthServ_BD,F_OthServ_AdD_D,F_OthServ_Cert,F_OthServ_ID_NS,F_OthServ_ToT,F_ID_NS_PD,F_ID_NS_GD_GC,F_ID_NS_BD,F_ID_NS_AdD_D,F_ID_NS_Cert,F_ID_NS_ID_NS,F_ID_NS_ToT,F_ToT_PD,F_ToT_GD_GC,F_ToT_BD,F_ToT_AdD_D,F_ToT_Cert,F_ToT_ID_NS,F_ToT_ToT,P_AgriForestFish_PD,P_AgriForestFish_GD_GC,P_AgriForestFish_BD,P_AgriForestFish_AdD_D,P_AgriForestFish_Cert,P_AgriForestFish_ID_NS,P_AgriForestFish_ToT,P_Min_PD,P_Min_GD_GC,P_Min_BD,P_Min_AdD_D,P_Min_Cert,P_Min_ID_NS,P_Min_ToT,P_Mnfg_PD,P_Mnfg_GD_GC,P_Mnfg_BD,P_Mnfg_AdD_D,P_Mnfg_Cert,P_Mnfg_ID_NS,P_Mnfg_ToT,P_EGW_WS_PD,P_EGW_WS_GD_GC,P_EGW_WS_BD,P_EGW_WS_AdD_D,P_EGW_WS_Cert,P_EGW_WS_ID_NS,P_EGW_WS_ToT,P_Cnstn_PD,P_Cnstn_GD_GC,P_Cnstn_BD,P_Cnstn_AdD_D,P_Cnstn_Cert,P_Cnstn_ID_NS,P_Cnstn_ToT,P_WTrade_PD,P_WTrade_GD_GC,P_WTrade_BD,P_WTrade_AdD_D,P_WTrade_Cert,P_WTrade_ID_NS,P_WTrade_ToT,P_RTrade_PD,P_RTrade_GD_GC,P_RTrade_BD,P_RTrade_AdD_D,P_RTrade_Cert,P_RTrade_ID_NS,P_RTrade_ToT,P_AccomFoodS_PD,P_AccomFoodS_GD_GC,P_AccomFoodS_BD,P_AccomFoodS_AdD_D,P_AccomFoodS_Cert,P_AccomFoodS_ID_NS,P_AccomFoodS_ToT,P_TransPostWhse_PD,P_TransPostWhse_GD_GC,P_TransPostWhse_BD,P_TransPostWhse_AdD_D,P_TransPostWhse_Cert,P_TransPostWhse_ID_NS,P_TransPostWhse_ToT,P_InfoMedTelecom_PD,P_InfoMedTelecom_GD_GC,P_InfoMedTelecom_BD,P_InfoMedTelecom_AdD_D,P_InfoMedTelecom_Cert,P_InfoMedTelecom_ID_NS,P_InfoMedTelecom_ToT,P_FinInsurS_PD,P_FinInsurS_GD_GC,P_FinInsurS_BD,P_FinInsurS_AdD_D,P_FinInsurS_Cert,P_FinInsurS_ID_NS,P_FinInsurS_ToT,P_RentHirREserv_PD,P_RentHirREserv_GD_GC,P_RentHirREserv_BD,P_RentHirREserv_AdD_D,P_RentHirREserv_Cert,P_RentHirREserv_ID_NS,P_RentHirREserv_ToT,P_ProScieTechServ_PD,P_ProScieTechServ_GD_GC,P_ProScieTechServ_BD,P_ProScieTechServ_AdD_D,P_ProScieTechServ_Cert,P_ProScieTechServ_ID_NS,P_ProScieTechServ_ToT,P_AdminSupServ_PD,P_AdminSupServ_GD_GC,P_AdminSupServ_BD,P_AdminSupServ_AdD_D,P_AdminSupServ_Cert,P_AdminSupServ_ID_NS,P_AdminSupServ_ToT,P_PubAdmiSafety_PD,P_PubAdmiSafety_GD_GC,P_PubAdmiSafety_BD,P_PubAdmiSafety_AdD_D,P_PubAdmiSafety_Cert,P_PubAdmiSafety_ID_NS,P_PubAdmiSafety_ToT,P_EducTrain_PD
LGA36510,177,24,333,5,3,19,18,40,10,89,0,4,12,12,6,3,42,3,0,14,38,48,3,106,6,0,5,13,59,8,88,24,13,126,65,80,9,312,4,0,27,51,54,5,148,16,18,79,81,84,4,280,96,96,374,146,205,26,943,70,50,337,288,396,57,1202,5,3,28,21,40,3,96,3,5,26,57,122,4,213,9,4,27,24,62,35,161,269,213,1295,1104,1808,268,4959,13,6,100,116,294,60,584,0,0,11,9,78,12,117,9,3,62,95,446,32,642,6,3,17,25,110,6,163,9,5,60,115,919,66,1176,3,3,31,33,158,12,237,11,10,94,95,350,41,603,11,5,79,92,321,30,544,13,3,36,40,212,32,334,0,4,26,16,44,7,101,6,3,24,58,65,3,164,8,0,16,26,103,19,170,50,20,247,113,135,18,592,4,4,44,62,132,14,264,52,38,151,203,283,19,750,159
LGA36580,64,10,119,0,0,3,4,32,0,46,0,0,5,5,7,0,19,0,3,4,12,22,3,44,0,0,4,7,29,0,40,5,3,32,25,39,5,105,0,3,8,10,45,10,72,4,10,42,54,68,10,183,30,47,165,70,122,12,447,25,29,169,141,249,22,628,0,3,9,4,16,0,30,0,3,9,33,54,5,103,0,0,5,14,39,17,76,85,105,547,528,1086,147,2500,7,3,43,43,193,32,324,0,0,3,13,70,11,93,3,0,84,65,376,44,572,3,0,5,7,88,3,108,4,3,17,34,445,33,541,3,0,10,16,76,8,121,3,0,44,50,220,36,345,0,0,14,27,113,18,174,0,0,10,27,193,22,246,0,0,5,5,12,0,26,0,3,5,17,29,4,62,0,0,9,19,47,3,80,11,12,65,43,76,12,221,0,3,11,19,81,9,125,6,14,61,130,211,29,457,41
LGA36630,108,16,174,0,0,0,9,24,0,34,0,0,3,0,11,0,24,0,0,3,8,27,0,37,0,0,3,11,26,4,47,7,5,52,30,55,3,158,0,0,7,11,33,5,58,7,9,58,57,64,4,197,47,76,346,102,183,11,760,33,26,226,270,373,45,985,0,0,0,3,14,0,19,3,0,8,29,83,5,122,0,0,10,13,29,20,69,113,135,850,708,1426,164,3395,8,11,85,95,289,47,530,3,3,22,29,203,7,269,6,6,46,34,361,39,490,10,5,32,37,203,7,295,0,0,17,27,408,25,480,0,0,12,17,60,17,103,3,3,47,61,364,42,515,3,3,31,37,174,19,258,0,0,12,18,115,8,156,0,0,8,3,27,0,45,0,0,7,20,33,0,57,0,0,7,13,49,3,71,10,10,88,48,83,9,237,5,0,6,18,64,14,105,12,9,97,116,185,17,436,66
LGA36660,155,29,257,0,0,5,14,43,3,64,0,0,12,3,12,0,25,0,0,7,19,28,3,66,3,0,5,13,26,7,57,15,7,73,29,45,4,165,0,0,18,16,44,3,89,7,5,35,45,67,6,170,55,81,339,124,168,22,784,50,34,250,248,427,32,1033,0,3,4,8,16,0,33,0,4,13,18,111,7,151,3,0,18,22,38,28,99,150,152,963,747,1560,212,3782,14,9,142,138,403,67,770,0,0,3,7,66,0,78,20,7,60,62,415,55,610,0,0,4,5,57,3,73,0,0,24,44,560,38,667,0,0,12,19,76,4,110,4,0,61,84,418,36,606,6,6,47,66,255,41,416,3,0,15,49,256,22,343,3,0,14,6,39,0,56,3,0,17,39,37,4,104,0,3,9,15,54,16,105,25,9,137,52,66,10,310,3,0,28,25,74,7,143,29,14,78,108,184,20,433,83
LGA36720,1352,165,2692,14,20,91,135,204,24,482,11,18,150,68,101,9,361,41,20,273,367,375,41,1119,14,19,190,240,479,55,991,142,132,1040,564,704,72,2649,31,46,318,410,665,82,1560,132,142,655,414,421,43,1804,844,863,3115,1063,1234,135,7253,869,638,4339,2888,3475,381,12602,23,12,224,178,309,29,773,30,30,194,527,1056,77,1913,65,36,296,281,374,210,1252,2473,2148,12738,9358,13833,1718,42270,48,22,234,247,561,76,1195,40,23,156,188,946,28,1373,82,36,425,570,2556,135,3806,38,16,152,141,545,18,914,83,59,754,1061,8833,374,11169,51,23,281,275,798,67,1495,137,82,1066,1192,3557,338,6369,134,68,786,970,2684,243,4875,58,45,283,543,1252,139,2313,35,39,273,185,343,27,894,112,62,628,765,724,82,2382,42,37,368,404,933,99,1887,468,261,2437,1150,1308,155,5780,53,74,495,632,1473,158,2884,288,242,1223,1089,1210,105,4157,1303
LGA36820,87,26,163,0,0,3,9,19,0,36,5,3,12,6,5,0,27,3,0,10,9,21,3,42,0,0,3,14,27,4,53,19,8,71,26,42,3,160,0,0,10,27,41,5,80,6,9,51,50,48,4,173,51,58,250,80,130,21,591,37,30,248,191,254,34,791,6,6,7,14,9,3,38,3,5,11,23,60,4,116,0,3,7,21,22,22,79,137,129,815,634,1032,168,2914,15,11,107,104,299,49,578,0,0,14,12,131,12,163,3,3,15,31,194,15,249,3,0,8,12,56,3,76,0,0,23,27,478,18,551,0,0,3,11,60,3,82,8,0,61,62,293,32,451,5,4,33,40,145,38,268,3,3,10,26,110,3,154,3,3,12,10,13,0,42,8,0,14,25,21,3,72,0,0,5,23,38,5,73,36,13,108,48,67,16,293,0,0,17,35,80,9,147,26,17,92,111,146,20,413,75
LGA36910,578,64,964,7,5,31,60,146,14,261,0,4,43,14,38,3,96,17,22,184,176,297,20,703,3,5,67,63,167,16,329,84,62,516,194,283,27,1165,20,16,96,129,202,31,486,85,103,473,295,395,32,1381,658,505,1925,669,823,86,4663,446,289,2318,1303,1983,225,6566,10,6,41,39,99,4,201,25,12,106,182,553,21,897,16,9,103,91,138,82,435,1490,1094,6732,4169,7487,823,21788,96,33,502,414,945,128,2117,17,7,87,107,609,23,854,64,20,261,322,1891,124,2681,30,17,92,123,375,12,645,34,26,298,381,3268,133,4143,23,8,146,157,728,47,1110,65,35,486,434,1714,138,2867,43,11,206,313,1044,104,1720,28,11,135,201,903,91,1363,11,6,81,46,129,5,283,61,39,393,299,413,29,1245,16,8,122,106,323,32,613,216,113,1096,355,549,62,2405,46,22,163,186,456,44,920,260,174,956,806,1239,85,3520,1126
LGA36950,9,4,18,0,0,0,5,5,6,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,3,0,0,3,0,0,8,0,0,0,3,3,6,7,12,3,23,18,37,3,90,12,4,40,13,22,4,97,18,10,49,31,45,18,164,0,0,0,0,0,0,3,0,0,0,3,9,0,12,0,0,0,0,4,15,16,46,25,135,86,149,60,500,0,0,0,0,7,4,10,0,0,0,0,4,0,4,0,0,0,0,3,0,3,0,0,0,0,5,0,5,0,0,4,3,67,9,81,0,0,0,0,0,0,0,0,0,12,4,32,3,47,0,0,3,12,19,4,41,0,0,4,16,37,12,69,0,0,0,0,3,0,7,0,0,0,0,0,0,3,0,0,3,0,4,0,3,3,0,3,6,4,3,15,0,0,0,0,13,6,17,14,9,43,41,65,17,181,17
LGA36960,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,23,44,10,72,0,8,42,13,30,6,108,0,0,8,26,36,3,71,0,0,0,0,3,0,3,0,0,0,3,15,7,26,0,0,0,0,5,3,10,5,14,47,66,160,32,329,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,24,8,34,0,0,0,0,0,0,0,0,0,0,3,28,7,41,0,0,0,0,4,0,4,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10,0,0,5,26,173,35,241,8
LGA37010,771,81,1447,15,3,59,76,191,15,368,3,0,68,39,66,3,186,9,10,105,169,171,13,485,4,8,62,77,216,24,400,116,74,627,168,336,35,1362,11,9,108,132,316,41,619,197,156,925,630,900,59,2861,644,400,2310,641,934,84,5013,561,476,3212,1549,2092,250,8134,14,17,90,55,108,18,304,25,21,149,268,614,23,1093,23,14,110,77,188,103,514,1722,1273,8863,4807,8610,883,26152,10,3,73,47,143,13,289,44,23,184,140,994,30,1413,52,23,278,264,1762,90,2469,53,28,222,192,494,19,1011,39,28,305,395,3931,139,4835,23,9,88,136,635,32,930,40,37,581,487,1863,155,3153,52,20,457,432,1447,132,2546,48,29,204,334,1323,109,2048,20,8,163,128,264,18,597,39,26,209,273,248,22,819,16,12,125,121,436,37,748,307,133,1353,396,711,77,2978,25,16,185,232,804,81,1347,418,266,1693,1655,3431,158,7609,1049
LGA37300,10,4,25,0,0,0,3,3,0,9,0,0,0,0,0,0,0,0,0,0,0,9,0,13,0,0,0,3,7,0,9,0,0,0,0,3,0,7,0,0,0,3,9,0,13,0,4,12,7,4,0,28,13,13,60,16,22,3,128,10,6,43,24,21,8,115,0,0,0,0,3,0,6,0,0,3,3,11,0,12,0,0,0,3,4,3,13,33,36,170,93,194,33,558,0,0,0,0,0,0,0,20,8,82,55,437,25,642,0,0,3,6,97,0,103,0,0,0,0,3,0,3,0,0,3,3,61,0,73,0,0,0,0,7,0,10,0,0,8,3,21,0,35,0,0,6,11,19,3,43,0,0,0,7,19,0,38,0,0,0,0,0,0,3,0,0,0,0,9,0,11,0,0,0,5,12,0,13,0,0,6,0,3,0,10,0,0,0,3,20,0,25,3,4,17,17,15,3,52,11
LGA37310,107,20,188,0,0,7,17,26,0,59,0,0,7,0,15,0,25,0,0,16,15,37,3,74,0,0,7,10,22,4,42,6,6,83,33,54,9,197,0,0,9,27,38,12,90,0,6,59,56,103,7,230,38,61,396,107,137,20,764,19,29,220,160,255,49,730,0,0,0,9,12,0,26,0,0,15,33,103,3,155,0,0,10,17,34,20,84,92,125,1062,734,1434,225,3672,17,17,250,247,565,97,1205,7,3,47,65,290,9,423,3,5,40,41,328,27,432,7,0,38,51,204,16,319,11,3,42,55,701,33,833,0,3,25,30,131,10,201,12,4,52,62,344,57,528,4,3,52,49,192,29,325,0,3,12,29,164,23,230,0,0,11,4,18,0,34,0,0,31,34,44,3,111,0,0,14,19,59,10,92,9,11,146,46,95,9,320,0,3,14,33,77,15,140,5,17,88,118,263,29,520,49
LGA37340,286,28,703,9,3,39,53,86,9,198,3,7,4,10,8,0,31,0,0,3,18,23,0,50,3,4,19,20,38,13,94,16,15,66,31,67,0,189,4,4,55,49,104,28,248,0,7,39,44,52,3,147,38,62,285,96,142,26,641,26,24,206,176,296,30,754,0,0,15,7,14,7,41,3,0,16,39,129,13,194,7,0,29,25,47,27,138,117,134,1078,933,1675,291,4226,10,3,101,72,303,118,611,7,4,40,56,491,19,621,5,0,28,44,307,21,405,3,0,4,11,69,0,83,4,0,22,52,700,30,818,0,0,13,12,88,6,127,3,7,73,95,350,56,589,29,14,276,382,675,69,1446,14,5,74,141,471,45,754,3,7,10,16,20,0,54,3,0,14,19,32,0,64,5,4,26,28,78,14,153,23,17,123,55,130,9,361,4,5,75,70,241,37,441,9,9,66,113,156,9,364,49
LGA37400,12,3,13,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,5,15,0,24,7,0,11,0,4,0,21,0,0,8,7,3,4,21,0,0,0,3,3,0,6,0,0,0,0,3,0,5,0,0,3,0,0,0,4,11,0,38,33,54,10,143,0,0,7,14,31,0,59,0,0,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,0,7,0,5,0,0,0,0,14,0,13,0,0,0,0,3,0,4,0,0,3,3,13,3,21,0,0,3,4,14,3,22,0,0,0,3,9,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,3,0,3,4,0,4,6,32,3,56,7
LGA37550,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,7,0,0,3,11,0,0,3,4,8,3,15,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,7,5,20,7,49,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,6,9,5,22,0
LGA37570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,0,0,0,3,0,3,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,0,15,0
LGA37600,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,3,0,0,0,3,14,4,24,0,3,14,5,15,3,42,0,0,7,18,17,5,43,0,0,0,0,0,0,0,0,0,0,0,5,0,10,0,0,0,0,0,0,0,0,6,20,25,63,12,128,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,3,0,0,3,9,34,6,61,0
LGA39499,37,12,146,0,0,7,0,11,0,19,0,0,3,0,3,0,4,0,0,3,3,5,0,11,0,0,0,0,3,0,5,4,0,27,5,9,0,48,3,0,21,3,15,0,47,0,5,20,4,16,0,44,16,9,28,5,13,0,76,9,5,69,33,27,7,153,3,0,8,0,6,0,24,5,0,7,6,15,0,36,0,0,12,9,4,14,37,52,28,371,157,227,57,894,6,0,120,37,57,27,249,6,0,11,10,31,5,58,7,3,15,10,47,3,76,0,0,0,3,11,0,20,4,4,13,4,150,17,194,0,0,9,8,11,3,29,3,5,30,14,36,3,83,6,3,80,44,82,16,238,0,0,13,11,50,6,82,3,0,4,3,8,0,20,3,0,6,4,3,0,23,0,3,5,0,9,0,24,7,3,49,18,19,5,101,3,0,29,16,35,6,85,6,6,36,12,32,3,97,32
LGA39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
